artista,título,letra,gênero
Anitta,Envolver,"Paroles de la chanson Envolver par Anitta
Dime cómo hacemos
Si tú me desea' y yo a ti también
Hace rato te quiero comer
Di qué va' a hacer

Así que ponme un dembow, que ese no respeta
Tengo pa' ti la combi completa
Que no duro mucho soltera
Aprovéchame

Y no te vaya' a envolver
Sé que lo hacemo' y tú va' a volver (Volver)
Un perreíto en la pared
Yo soy un caso que hay que resolver
Pero no te vaya' a envolver
Sé que lo hacemo' y tú va' a volver (Volver)

Un perreíto pa' bellaquear
Pegaíto' a la pared (Pegaíto' a la pared)

Botelleo y fumeteo
Contigo en un capsuleo
Porque siempre que te veo (Oh, oh)
Tú me quiere' perrear y yo quiero partirte
Cógelo a chiste
Y en cinco minuto' ya va' a venirte
Me tienes como pa' derretirte
Solo Dios sabe lo que me hiciste
Cógelo a chiste
Y en cinco minuto' ya va' a venirte
Me tiene' como pa' derretirte
Solo Dios sabe lo que me hiciste

Y no te vaya' a envolver
Sé que lo hacemo' y tú va' a volver (Volver)

Un perreíto en la pared
Yo soy un caso que hay que resolver
Pero no te vaya' a envolver
Sé que lo hacemo' y tú va' a volver (Volver)
Un perreíto pa' bellaquear
Pegaíto' a la pared (Pegaíto' a la pared)

Sexo y alcohol
Lo que pase aquí se va quedar
Yo sé que no me vas a olvidar
Si te hago el amor, si te hago el amor
Sexo y alcohol
Lo que pase aquí se va quedar (Quedar)
Yo sé que no me vas a olvidar
Si te hago el amor, si te hago el amor

Y no te vaya' a envolver
Sé que lo hacemo' y tú va' a volver (Volver)

Un perreíto en la pared
Yo soy un caso que hay que resolver
Pero no te vaya' a envolver
Sé que lo hacemo' y tú va' a volver (Volver)
Un perreíto pa' bellaquear
Pegaíto' a la pared

Botelleo y fumeteo
Contigo en un capsuleo
Porque siempre que te veo
Tú me quiere' perrear y yo quiero partirte
Botelleo y fumeteo
Contigo en un capsuleo
Porque siempre que te veo
Tú me quiere' perrear y yo quiero partirte
Dime cómo hacemos
Si tú me deseas y yo a ti también
Hace rato te quiero comer

Di qué vas a hacer",funk pop
Anitta,Fria,"Paroles de la chanson Fria par Anitta
Tú estabas claro que no te hago bien
Pero lo prohibido da más ganas de tener
Ya te había dicho que no soy tu bebé (Tu bebé)
Pero son las malas que hacen que quieran volver (Eh, eh)

Uh, how that feel? Adicción a lo mío
'Tá buscando calor, pero yo soy el frío
Uh, how that feel? Adicción a lo mío
'Tá buscando calor, pero yo soy fría de querer

Eh, eh, eh, eh, eh
Fría de querer
Eh, eh, eh, e-eh, e-eh

I'm not tryin' to hurt you, but I see you're all in

I don't mean to be rude, but you keep on callin'
I don't do pick and choose, got too many options (Oh)
I just win, never lose, don't get too involved in
Don't wanna waste your time (Oh, no)
If we gonna cross that line (Okay)
Don't want no feelings attached
You know I'm bad, and you want it bad
You're not gonna change my mind
My heart's so cold and you ain't the first to try to get to me
Get to me

Tú estabas claro que no te hago bien
Pero lo prohibido da más ganas de tener
Ya te había dicho que no soy tu bebé
Pero son las malas que hacen que quieran volver (Eh, eh)


Uh, how that feel? Adicción a lo mío
'Tá buscando calor, pero yo soy el frío
Uh, how that feel? Adicción a lo mío
'Tá buscando calor, pero yo soy fría de querer

Eh, eh, eh, eh, eh
Fría de querer
Eh, eh, eh, eh, eh
Fría de querer
Eh, eh, eh, eh, eh, eh, eh, eh
Fría de querer
Eh, eh, eh, eh, eh
Fría de querer",funk pop
Anitta,Mil Veces,"Paroles de la chanson Mil Veces par Anitta
Ooh, ooh
Ooh, ooh

Quiero darte, darte
Pero e' prohibido, lo sé
Ya lo hemo' hecho mil vece'
Mil vece', mil, mil vece'
Voy a darte (Darte), darte (Darte)
Pero e' prohibido (Yeah, yeah), lo sé (Yeah, yeah)
Ya lo hemo' hecho mil vece' (Yeah, yeah)
En mi mente, pero hoy e' diferente

Mil, mil vece', mil, mil ve 
Mil, mil vece', mil, mil ve 
Mil, mil vece', mil, mil ve 

Mil, mil vece', mil, mil vece'

Duro, duro, dur-dur 
Dámelo duro, duro
Dame, dame, dame (Fala aí)
Duro, duro, duro
Dame, dame duro, duro (Fala aí, fala aí)
Duro, duro
Dame, dame duro
Dame duro, duro
Dame, dame, dame (Fala aí)
Duro, duro, duro
Dámelo duro, duro (Fala aí)

Quiero darte, darte
Pero e' prohibido, lo sé
Ya lo hemo' hecho (Hecho) mil vece'
Mil vece', mil, mil vece'

Sé que te gusta que somo' así (Así)
No' vemo', lo hacemo', lowkey (Lowkey)
Y si no' llegamo' a dar (Na-na)
De mi cuarto no vamo' a salir (Na-na)
No le pongamo' condicione'
Y ¿si cambiamo' posicione'?
Tenemo' mala' intencione'
Yo tengo gana' de ti

Mil, mil vece', mil, mil ve 
Mil, mil vece', mil, mil ve (Eh-eh)
Mil, mil vece', mil, mil ve 
Mil, mil vece', mil, mil vece'

Mil, mil vece', mil, mil ve 
Yo tengo gana' de ti
Mil, mil vece', mil, mil ve 
Yeah, oh, yeah

Mil, mil vece', mil, mil ve 
Yo tengo gana' de ti
Mil, mil vece', mil, mil ve 
Whoa
Mil ve-ve-ve , mil ve-ve-ve , mil ve-ve-ve-vece'
Mil ve-ve-ve , mil ve-ve-ve , mil ve-ve-ve-ve (Ooh)
Mil ve-ve-ve , mil ve-ve-ve , mil ve-ve-ve-vece'
Mil ve-ve-ve-vece'",funk pop
Anitta,Fica Só Olhando,"Segura, se prepara, vou provocar
Se controla e repara, eu rebolar
Se comporta que eu encosto
Mas não vou grudar
Faz parte do que eu gosto
Gosto de atiçar

Mas não vá pensando

Que eu tô te chamando, não

Eu já to avisando: Fica só olhando



Não jogue ideia pra mim

Beijo tu manda pra Xuxa

Sai! Nem pense que posso ser sua

Não adianta insistir

Vá procurar uma ajuda

Sai, nem pense que posso ser sua



Não jogue ideia pra mim

Beijo tu manda pra Xuxa

Sai! Nem pense que posso ser sua

Não adianta insistir

Vá procurar uma ajuda

Sai, nem pense que posso ser sua



Segura, se prepara, vou provocar

Se controla e repara, eu rebolar

Se comporta que eu encosto

Mas não vou grudar

Faz parte do que eu gosto

Gosto de atiçar

Mas não vá pensando

Que eu tô te chamando, não

Eu já to avisando: Fica só olhando



Não jogue ideia pra mim

Beijo tu manda pra Xuxa

Sai! Nem pense que posso ser sua

Não adianta insistir

Vá procurar uma ajuda

Sai, nem pense que posso ser sua



Não jogue ideia pra mim

Beijo tu manda pra Xuxa

Sai! Nem pense que posso ser sua

Não adianta insistir

Vá procurar uma ajuda

Sai, nem pense que posso ser sua



Segura se prepara vou provocar,

Vou provocar, vou provocar

Segura se prepara vou provocar,

Vou provocar",funk pop
Anitta,Funk Rave,"Paroles de la chanson Funk Rave par Anitta
Look at what you cannot have
Boss bitch, mulher mala, mala
Encuéntrame en el trópico
Por lo' la'o de Punta Cana
Tasty, si prueba'
Voy a que te queda'
Tasty, si prueba'
Vas a dejar tu jeva
Cai gostoso de boca
Me lleva a la locura
Con lo que tengo en el banco
Yo me compro la cura

'Toy en roce sin pose, hoy yo pago to'
Y después de las doce, a mí me gusta to'
Quiero desacato hasta la mañana

A nadie le debo explicación


Písala, chócala, sácala, tómala
Písala, chócala, sácala, tómala
Písala, chócala, sácala, tómala
Písala, chócala, sácala, tómala
Písala, chócala, sácala, tómala

Sá-sácala, tómala
Sá-sá-sácala, tómala
Sá-sá-sácala, tómala

Got that sauce
No me haga hablar que te hago llorar
Bla-bla-bla
No voy a escuchar si no es pa' pagarme


'Toy en roce sin pose, hoy yo pago to'
Y despué' de la' doce, a mí me gusta to'
Quiero desacato hasta la mañana
A nadie le debo explicación

Písala, chócala, sácala, tómala
Písala, chócala, sácala, tómala
Písala, chócala, sácala, tómala
Písala, chócala, sácala, tómala
Písala, chócala, sácala, tómala

Sá-sácala, tómala
Sá-sá-sácala, tómala
Sá-sá-sácala, tómala
Sá-sá-sá-sá-sá-sá",funk pop
Luisa Sonza,Sagrado Profano,"Paroles de la chanson Sagrado Profano par Luísa Sonza
[Luísa Sonza]
Dirijo sozinha pela tua rua
Deitada na cama com a camisa tua
Mania de mim
Só nós dois enfim
Fim de tarde em Tom Rosé
Dá vontade de beber
Mais um trago de você
Faz fumaça pra aquecer

[Luísa Sonza]
Me olha e me encara, eu sou tua caça
Me engole e me encaixa, pode me comer
Pode me fu , ah
Pode me 


[Luísa Sonza, KayBlack]
Me encontra em todo mundo
Procura e me destrincha a fundo
Me diz qual amor não é confuso
Minado, inseguro
Ciúme de um fatídico segundo
Sagrado amor profano
Impuro amor profundo, yeah, eh-eh

[KayBlack]
Se a gente for a fundo mesmo
Pra te recordar que eu quis enfrentar
Todo esse sentimento confuso
Minado e inseguro
Como um mergulho raso
Buscando algo profundo, yeah, yeah, yeah

[KayBlack]

Não que eu seja inseguro, mas
'Cê nem me deu confiança
Eu tentei preservar o futuro em nós
Vai e vem nessa distância
E as lembranças só afetam mais
Fim de tarde nos lençóis
Bateu saudade de você sem
Sentada na cama com a minha peita branca
Me beija, me arranha, pede pra eu, ah-ah-ah
Pede pra eu fazer, pra satisfazer
O seu prazer na cama
Anoiteceu, o quarto entra em chama
E é você quem chama e eu não vou negar que
Depois das briga' eu te desejo mais, mas
Quero te ouvir falar

[Luísa Sonza, KayBlack]
Me olha e me encara, eu sou tua caça

Me engole e me encaixa, pode me comer
Pode me fu , ah
Pode me fu , ah

[Luísa Sonza, KayBlack]
Me encontra em todo mundo
Procura e me destrincha a fundo
Me diz qual amor não é confuso
Minado, inseguro
Ciúme de um fatídico segundo
Sagrado amor profano
Impuro amor profundo, yeah, eh, eh

[KayBlack]
Se a gente for a fundo mesmo
Pra te recordar que eu quis enfrentar
Todo esse sentimento confuso
Minado e inseguro

Como um mergulho raso
Buscando algo profundo, yeah, yeah, yeah",pop
Luisa Sonza,Cachorrinhas,"Paroles de la chanson CACHORRINHAS par Luísa Sonza
Uh, ah
Eu vou levar minhas cachorrinhas pra curtir no pet shop
Desfilando, patricinha, porque sou uma artista pop
Meu nariz empinadinho, não me rele, não me toque
Sou mimada e correria, cachorra de grande porte (Rawr)
Temos pedigree, coleira cara
Meu perfume caro atiça os faro dos vira-lata

Eu e minhas cachorras au-au, dá a patinha deita e rola, hahahaha
Eu e minhas cachorras au-au, dá a patinha deita e rola

Olha o meu visual, não ligo pra tua inveja, falador passa mal
Quando nós abana o rabo, eles late tudo, uau
Eu e minhas cachorras au-au, da a patinha deita e rola
Olha o meu visual, não ligo pra tua inveja, falador passa mal
Quando nós abana o rabo, eles late tudo, uau

Okay, okay, agora eu vou mostrar pra vocês as minhas meninas
Hahahaha

Cadelinha número um é a famosa Giselle
Insuportável, inadestrável, essa é minha BFF
Cadela número dois é a Britney Bitch
Ela é mandraca, nunca dá a pata
Essa é a Dudinha, a número três

Cachorra novinha, não deita pra ex
Minha gata pirada, de quatro ela vem
Essa é a Rita Lee, come quieto, come bem

Eu e minhas cachorras au-au, dá a patinha deita e rola
Olha o meu visual, não ligo pra tua inveja, falador passa mal
Quando nós abana o rabo, eles late, uau
Eu e minhas cachorras au-au, dá a patinha deita e rola
Olha o meu visual, não ligo pra tua inveja, falador passa mal
Quando nós abana o rabo, eles late, uau

Eu e minhas cachorras au-au
Olha o meu visual (Uhum)
Falador passa mal

Eles late, uau

Eu e minhas cachorras au-au, dá a patinha deita e rola
Olha o meu visual, não ligo pra tua inveja, falador passa mal
Quando nós abana o rabo, eles late, uau
Eu e minhas cachorras au-au, dá a patinha deita e rola
Olha o meu visual, não ligo pra tua inveja, falador passa mal
Quando nós abana o rabo, eles late, uau",pop
Luisa Sonza,Chico,"Paroles de la chanson Chico par Luísa Sonza
Folia pra mim, me arriscar no amor
Apostar na incerteza, pular de onde for
De novo, meu amor
Diziam pra mim que essa moda passou
Que monogamia é papo de doido
Mas pra mim é uma honra ser uma cafona
Pra esse povo

Me pinto pra disfarçar
Rebusco palavras pra te encantar
Invento uma moda, faço bossa nova
Meu futuro no Rio será, mm

Chico, se tu me quiseres
Sou dessas mulheres de se apaixonar
Pode fazer a sua fumaça, o Bar da Cachaça vai ser nosso lar

E, Chico, se tu me quiseres
Debato política, tomo o teu partido
E se for pra repartir o amor, que reparta comigo, mm
Chico, se tu me quiseres
Sou dessas mulheres de se apaixonar
Pode fazer a sua fumaça, o Bar da Cachaça vai ser nosso lar
Pois, Chico, se tu me quiseres
Debato política, tomo o teu partido
E se for pra repartir o amor, que reparta comigo, comigo",pop
Luisa Sonza,Campo De Morango,"Paroles de la chanson Campo De Morango par Luísa Sonza
Malvadona, safada
Quer crime, eu sou karma
Metida, assanhada
Só haxa do bom
Luxúria né praga, de Balenciaga
De costa' me encara, ah
Tua vizinha pelada eu sou
Na BMW borrando batom
Toda boa, boa, boa menina
Solta esse beat, eu resolvo por cima (Yeah)

Sonhei com campos de morango (Fuck that)
Tu provando da fruta enquanto eu 'tava me excitando (Fuck that, yeah)
Acordei, tu 'tava me chamando (Fuck that)
Eu 'tava de ladinho e tu ia colocando (Fuck that)

Sou uma vagabunda na tua cama
Me bota e pode falar que me ama
Eu gosto do jeitin' que tu me chama
E 'tava certa sobre toda tua fama

Segura mais um pouco que eu tô chegando lá (Fuck that)
Vai tomar do meu suco, é só lamber devagar (Fuck that, yeah)
Segura mais um pouco, eu tô chegando lá (Fuck that)
Vou tomar do teu suco, eu vou lamber devagar (Fu t-t-t-t-hat)

Malvadona, safada
Quer crime, eu sou karma
Metida, assanhada
Só haxa do bom

Luxúria né praga, de Balenciaga
De costa' me encara, ah
Tua vizinha pelada eu sou
Na BMW borrando batom
Toda boa, boa, boa menina
Solta esse beat, eu resolvo por cima

Jogando Nintendo, ouvindo Beatles
Meu lindo, meu malvado favorito
Sem bala, eu prefiro pirulito
Teu pirulito (Uh)
Teu pirulito (Ah)",pop
Luisa Sonza,Penhasco,"Sabia que a queda era grande
Mas tive que pular
Queria que a gente fosse mais alto
Quando segurei sua mão você soltou a minha
E ainda me empurrou do penhasco

E te dizer te amo agora é mais estranho

Estranho mesmo é te ver distante

Botar o nosso amor numa estante



Eu tive que desaprender a gostar tanto de você

Porque cê faz assim?

Não fala assim de mim



E eu sei que chora

Não finge que não viveu toda nossa história

Meu Deus eu pedi tanto pra não ir embora

Mas tenho que seguir meu caminho agora

E eu sei que chora

Não finge que não viveu toda nossa história

Meu Deus eu pedi tanto pra não ir embora

Mas tenho que seguir meu caminho agora



Cê sabe bem quem eu sou

Sabe que se chamar eu vou

Cê sabe bem quem eu sou

Sabe que se me chamar eu vou



E eu não sinto raiva, eu não sinto nada além

Do que você já sabe

E olha que cê sabe bem, meu bem

O tanto que eu tentei

E eu não sinto raiva, eu não sinto nada além

Do que você já sabe

E olha que cê sabe bem, meu bem

O tanto que eu tentei



Eu tive que desaprender a gostar tanto de você

Porque cê faz assim?

Não fala assim de mim



E eu sei que chora

Mas tenho que seguir o meu caminho agora



E eu sei que chora

Não finge que não viveu toda a nossa história

Meu Deus eu pedi tanto pra não ir embora

Mas tenho que seguir meu caminho agora



Cê sabe bem quem eu sou

Sabe que se chamar eu vou

Cê sabe bem quem eu sou

Sabe que se me chamar eu vou",pop
U2,Beautiful Day,"The heart is a bloom
Shoots up through the stony ground
There's no room
No space to rent in this town


You're out of luck

And the reason that you had to care

The traffic is stuck

And you're not moving anywhere





You thought you'd found a friend

To take you out of this place

Someone you could lend a hand

In return for grace





It's a beautiful day

Sky falls, you feel like

It's a beautiful day

Don't let it get away





You're on the road

But you've got no destination

You're in the mud

In the maze of her imagination





You love this town

Even if that doesn't ring true

You've been all over

And it's been all over you





It's a beautiful day

Don't let it get away

It's a beautiful day





Touch me

Take me to that other place

Teach me

I know I'm not a hopeless case





See the world in green and blue

See China right in front of you

See the canyons broken by cloud

See the tuna fleets clearing the sea out

See the Bedouin fires at night

See the oil fields at first light

And see the bird with a leaf in her mouth

After the flood all the colors came out





It was a beautiful day

Don't let it get away

Beautiful day





Touch me

Take me to that other place

Reach me

I know I'm not a hopeless case





What you don't have you don't need it now

What you don't know you can feel it somehow

What you don't have you don't need it now

Don't need it now

Was a beautiful day",rock
U2,Pride,"One man come in the name of love
One man come and go
One come he to justify
One man to overthrow

In the name of love

What more in the name of love

In the name of love

What more your name of love



One man caught on a barbed wire fence

One man he resist

One man washed on an empty beach

One man betrayed with a kiss



In the name of love

What more in the name of love

In the name of love

What more in the name of love



Early mornin, April four

Shot rings out in the Memphis sky

Free at last

They took your life

They could not take your pride



In the name of love

What more in the name of love

In the name of love

What more in the name of love



In the name of love

What more in the name of love

In the name of love

What more in the name of love",rock
Lana Del Rey,Summertime Sadness,"Paroles de la chanson Summertime Sadness par Lana Del Rey
Kiss me hard before you go

Summertime sadness

I just wanted you to know

That, baby, you're the best



I got my red dress on tonight

Dancing in the dark in the pale moonlight

Done my hair up real big beauty queen style

High heels off, I'm feeling alive



Oh, my God, I feel it in the air

Telephone wires above are sizzling like a snare

Honey, I'm on fire, I feel it everywhere

Nothing scares me anymore



(1, 2, 3, 4)




Kiss me hard before you go

Summertime sadness

I just wanted you to know

That, baby, you're the best



I've got that summertime, summertime sadness

S-s-summertime, summertime sadness

Got that summertime, summertime sadness

Oh, oh, oh, oh, oh



I'm feelin' electric tonight

Cruising down the coast goin' 'bout 99

Got my bad baby by my heavenly side

I know if I go, I'll die happy tonight



Oh, my God, I feel it in the air

Telephone wires above are sizzling like a snare


Honey, I'm on fire, I feel it everywhere

Nothing scares me anymore



(1, 2, 3, 4)



Kiss me hard before you go

Summertime sadness

I just wanted you to know

That, baby, you're the best



I've got that summertime, summertime sadness

S-s-summertime, summertime sadness

Got that summertime, summertime sadness

Oh, oh, oh, oh, oh



I think I'll miss you forever

Like the stars miss the sun in the morning sky

Later's better than never


Even if you're gone I'm gonna drive (drive, drive)



I've got that summertime, summertime sadness

S-s-summertime, summertime sadness

Got that summertime, summertime sadness

Oh, oh, oh, oh, oh



Kiss me hard before you go

Summertime sadness

I just wanted you to know

That, baby, you're the best



I've got that summertime, summertime sadness

S-s-summertime, summertime sadness

Got that summertime, summertime sadness

Oh, oh, oh, oh, oh",indie rock
Lana Del Rey,Say Yes To Heaven,"Paroles de la chanson Say Yes To Heaven par Lana Del Rey
If you dance, I'll dance
And if you don't, I'll dance anyway
Give peace a chance
Let the fear you have fall away

I've got my eye on you
I've got my eye on you

Say yes to Heaven
Say yes to me
Say yes to Heaven
Say yes to me

If you go, I'll stay
You come back, I'll be right here
Like a barge at sea

In the storm, I stay clear

'Cause I've got my mind on you
I've got my mind on you

Say yes to Heaven
Say yes to me
Say yes to Heaven
Say yes to me

If you dance, I'll dance
I'll put my red dress on, get it on
And if you fight, I'll fight
It doesn't matter now, it's all gone

I've got my mind on you
I got my mind on you


Say yes to Heaven
Say yes to me
Say yes to Heaven
Say yes to me

I've got my eye on you
I've got my eye on you, mm
I've got my eye on you
I've got my eye on you",indie rock
Lana Del Rey,Video Games,"Paroles de la chanson Video Games par Lana Del Rey
Swinging in the backyard

Pull up in your fast car

Whistling my name



Open up a beer

And you take it over here

And play a video game



I'm in his favorite sun dress

Watching me get undressed

Take that body downtown



I say you the bestest

Lean in for a big kiss

Put his favorite perfume on




Go play a video game



It's you, it's you, it's all for you

Everything I do

I tell you all the time

Heaven is a place on earth with you

Tell me all the things you want to do

I heard that you like the bad girls

Honey, is that true?

It's better than I ever even knew

They say that the world was built for two

Only worth living if somebody is loving you

Baby now you do



Singing in the old bars

Swinging with the old stars

Living for the fame




Kissing in the blue dark

Playing pool and wild darts

Video games



He holds me in his big arms

Drunk and I am seeing stars

This is all I think of



Watching all our friends fall

In and out of Old Paul's

This is my idea of fun

Playing video games



It's you, it's you, it's all for you

Everything I do

I tell you all the time

Heaven is a place on earth with you

Tell me all the things you want to do


I heard that you like the bad girls

Honey, is that true?

It's better than I ever even knew

They say that the world was built for two

Only worth living if somebody is loving you

Baby now you do



(Now you do)



It's you, it's you, it's all for you

Everything I do

I tell you all the time

Heaven is a place on earth with you

Tell me all the things you want to do

I heard that you like the bad girls

Honey, is that true?

It's better than I ever even knew

They say that the world was built for two


Only worth living if somebody is loving you

Baby now you do",indie rock
Lana Del Rey,Born To Die,"Paroles de la chanson Born To Die par Lana Del Rey
Why?

Who me?

Why?



Feet don’t fail me now

Take me to the finish line

Oh my heart it breaks every step that I take

But I’m hoping at the gates,

They’ll tell me that you’re mine



Walking through the city streets

Is it by mistake or design

I feel so alone on the Friday nights

Can you make it feel like home, if I tell you you’re mine?

It's like I told you honey




Don’t make me sad, don’t make me cry

Sometimes love is not enough and the road gets tough

I don’t know why

Keep making me laugh

Let’s go get high

The road is long, we carry on

Try to have fun in the meantime



Come on take a walk on the wild side

Let me kiss you hard in the pouring rain

You like your girls insane

Choose your last words, this is the last time

Cause you and I, we were born to die



Lost but now I am found

I can see but once I was blind


I was so confused as a little child

Trying to take what I could get

Scared that I couldn't find

All the answers honey



Don’t make me sad, don’t make me cry

Sometimes love is not enough and the road gets tough

I don’t know why

Keep making me laugh

Let's go get high

The road is long, we carry on

Try to have fun in the meantime



Come on take a walk on the wild side

Let me kiss you hard in the pouring rain

You like your girls insane

Choose your last words,


This is the last time

Cause you and I

We were born to die [3x]



Come on and take a walk on the wild side

Let me kiss you hard in the pouring rain

You like your girls insane



Don’t make me sad, don’t make me cry

Sometimes love is not enough and the road gets tough

I don’t know why

Keep making me laugh

Let's go get high

The road is long, we carry on

Try to have fun in the meantime



Come on take a walk on the wild side


Let me kiss you hard in the pouring rain

You like your girls insane...

Choose your last words,

This is the last time

Cause you and I

We were born to die",indie rock
Lana Del Rey,Young And Beautiful,"Paroles de la chanson Young And Beautiful par Lana Del Rey
I’ve seen the world
Done it all
Had my cake now
Diamonds, brilliant
In bel air now
Hot summer nights, mid july
When you and I were forever wild
The crazy days, city lights
The way you’d play with me like a child

Will you still love me
When i’m no longer young and beautiful?
Will you still love me
When i’ve got nothing but my aching soul?
I know you will, I know you will
I know that you will

Will you still love me when i’m no longer beautiful?

I’ve seen the world, lit it up
As my stage now
Changeling angels in a new age now
Hot summer days, rock n roll
The way you play for me at your show
And all the ways I got to know
Your pretty face and electric soul

Will you still love me
When i’m no longer young and beautiful?
Will you still love me
When i’ve got nothing but my aching soul?
I know you will, I know you will
I know that you will
Will you still love me when i’m no longer beautiful?


Dear lord, when I get to heaven
Please let me bring my man
When he comes tell me that you’ll let him
Father tell me if you can
All that grace, all that body
All that face, makes me wanna party
He’s my sun, he makes me shine like diamonds

And will you still love me
When i’m no longer young and beautiful?
Will you still love me
When i’ve got nothing but my aching soul?
I know you will, I know you will
I know that you will
Will you still love me when i’m no longer beautiful?
Will you still love me when i’m no longer beautiful?

Will you still love me when i’m not young and beautiful?",indie rock
Panic At The Disco,High Hopes,"Paroles de la chanson High Hopes par Panic! At The Disco
Had to have high, high hopes for a living
Shooting for the stars when I couldn't make a killing
Didn't have a dime but I always had a vision
Always had high, high hopes
Had to have high, high hopes for a living
Didn't know how but I always had a feeling
I was gonna be that one in a million
Always had high, high hopes

Mama said
Fulfill the prophecy
Be something greater
Go make a legacy
Manifest destiny
Back in the days

We wanted everything, wanted everything
Mama said
Burn your biographies
Rewrite your history
Light up your wildest dreams
Museum victories, everyday
We wanted everything, wanted everything

Mama said don't give up, it's a little complicated
All tied up, no more love and I'd hate to see you waiting

Had to have high, high hopes for a living
Shooting for the stars when I couldn't make a killing
Didn't have a dime but I always had a vision
Always had high, high hopes

Had to have high, high hopes for a living
Didn't know how but I always had a feeling
I was gonna be that one in a million
Always had high, high hopes

Mama said
It's uphill for oddities
The stranger crusaders
Ain't ever wannabes
The weird and the novelties
Don't ever change
We wanted everything, wanted everything

Stay up on that rise
Stay up on that rise and never come down
Stay up on that rise
Stay up on that rise and never come down


Mama said don't give up, it's a little complicated
All tied up, no more love and I'd hate to see you waiting
They say it's all been done but they haven't seen the best of me
So I got one more run and it's gonna be a sight to see

Had to have high, high hopes for a living
Shooting for the stars when I couldn't make a killing
Didn't have a dime but I always had a vision
Always had high, high hopes

Had to have high, high hopes for a living
Didn't know how but I always had a feeling
I was gonna be that one in a million

Always had high, high hopes
Had to have high, high hopes for a living
Shooting for the stars when I couldn't make a killing
Didn't have a dime but I always had a vision
Always had high, high hopes
Had to have high, high hopes for a living
Didn't know how but I always had a feeling
I was gonna be that one in a million
Always had high, high hopes",pop rock
Panic At The Disco,House Of Memories,"Paroles de la chanson House Of Memories par Panic! At The Disco
If you're a lover, you should know
The lonely moments just get lonelier
The longer you're in love
Than if you were alone
Memories turn into daydreams
Become a taboo
I don't want to be afraid
The deeper that I go
It takes my breath away
Soft hearts electric souls
Heart to heart and eyes to eyes
Is this taboo?

Baby we built this house
On memories
Take my picture now

Shake it til you see it
And when your fantasies
Become your legacy
Promise me a place
In your house of memories

I think of you from time to time
More than I thought I would
You were just too kind
And I was too young to know
That's all that really matters
I was a fool

Baby we built this house
On memories
Take my picture now
Shake it til you see it
And when your fantasies

Become your legacy
Promise me a place
In your house of memories

Those thoughts of
Past lovers
They'll always haunt me
I wish I
Could believe
You'd never wrong me
Then will you
Remember
Me in the same way
As I remember you

Baby we built this house
On memories
Take my picture now

Shake it til you see it
And when your fantasies
Become your legacy
Promise me a place
Baby we built this house
On memories
Take my picture now
Shake it til you see it
And when your fantasies
Become your legacy
Promise me a place
In your house of memories
In your house of memories
Promise me a place",pop rock
Panic At The Disco,Hey Look Ma I Made It,"Paroles de la chanson Hey Look Ma, I Made It par Panic! At The Disco
All my life, been hustlin'
And tonight is my appraisal
'Cause I'm a hooker sellin' songs
And my pimp's a record label
This world is full of demons
Stocks and bonds and bible traders
So I do the deed
Get up and leave
A climber and a sadist, yeah

Are you ready for the sequel?
Ain't ready for the latest?
In the garden of evil
I'm gonna be the greatest
In a golden cathedral
I'll be praying for the faithless

And if you lose, boo-hoo

Hey look ma, I made it
Hey look ma, I made it
Everything's comin' up aces, aces
And if it’s a dream, don't wake me, don't wake me
I said hey look ma, I made it

Friends are happy for me
Or they're honeysuckle phonies
Then they celebrate my medals
Or they wanna take my trophies
Some are loyal soldiers
While these other thorns are rosy
And if you never know who you can trust
Then trust me, you'll be lonely, oh


Are you ready for the sequel?
Ain't you ready for the latest?
In the garden of evil
I'm gonna be the greatest
In a golden cathedral
I'll be praying for the faithless
And if you lose, boo-hoo

Hey look ma, I made it
Hey look ma, I made it
Everything's comin' up aces, aces
And if it's a dream, don't wake me, don't wake me
I said hey look ma, I made it, I made it
I said hey look ma, I made it, I made it
I see it, I want it, I take it, take it
And if it's a dream, don't wake me, don't wake me

I said hey look ma, I made it

(Mama best believe it, Mama best believe it)
Hey look ma, I made it
(Think I must be dreamin', wide awake and dreamin')
Hey look ma, I made it
(Mama best believe it, Mama best believe it)
Hey look ma, I made it
(Think I must be dreamin')
Hey look ma, I made it",pop rock
